fecha,importe_diario
2024-04-23,878
2024-04-24,896
2024-04-25,1135
2024-04-26,1160
2024-04-27,1211
2024-04-28,911
2024-04-29,1356
2024-04-30,620
2024-05-01,665
2024-05-02,1005
2024-05-03,508
2024-05-04,505
2024-05-05,1403
2024-05-06,513
2024-05-07,1197
2024-05-08,711
2024-05-09,1440
2024-05-10,943
2024-05-11,691
2024-05-12,1010
2024-05-13,989
2024-05-14,597
2024-05-15,1257
2024-05-16,740
2024-05-17,1311
2024-05-18,690
2024-05-19,680
2024-05-20,825
2024-05-21,1223
2024-05-22,1163
2024-05-23,1042
2024-05-24,723
2024-05-25,980
2024-05-26,1280
2024-05-27,1403
2024-05-28,1142
2024-05-29,641
2024-05-30,1496
2024-05-31,1220
2024-06-01,768
2024-06-02,544
2024-06-03,842
2024-06-04,618
2024-06-05,993
2024-06-06,869
2024-06-07,1039
2024-06-08,921
2024-06-09,1314
2024-06-10,578
2024-06-11,1198
2024-06-12,550
2024-06-13,518
2024-06-14,851
2024-06-15,586
2024-06-16,1487
2024-06-17,1029
2024-06-18,881
2024-06-19,1144
2024-06-20,768
2024-06-21,1108
2024-06-22,738
2024-06-23,715
2024-06-24,1454
2024-06-25,1457
2024-06-26,1008
2024-06-27,1077
2024-06-28,785
2024-06-29,628
2024-06-30,1470
2024-07-01,1142
2024-07-02,888
2024-07-03,1418
2024-07-04,725
2024-07-05,1459
2024-07-06,1470
2024-07-07,847
2024-07-08,850
2024-07-09,1025
2024-07-10,1148
2024-07-11,1003
2024-07-12,870
2024-07-13,1272
2024-07-14,960
2024-07-15,598
2024-07-16,1189
2024-07-17,609
2024-07-18,1428
2024-07-19,723
2024-07-20,1224
2024-07-21,635
2024-07-22,692
2024-07-23,554
2024-07-24,1241
2024-07-25,780
2024-07-26,756
2024-07-27,1035
2024-07-28,1138
2024-07-29,516
2024-07-30,1167
2024-07-31,1131
2024-08-01,587
2024-08-02,1006
2024-08-03,1214
2024-08-04,1405
2024-08-05,798
2024-08-06,609
2024-08-07,1440
2024-08-08,676
2024-08-09,725
2024-08-10,1451
2024-08-11,1239
2024-08-12,1490
2024-08-13,953
2024-08-14,565
2024-08-15,1361
2024-08-16,1459
2024-08-17,1461
2024-08-18,749
2024-08-19,1340
2024-08-20,987
2024-08-21,538
2024-08-22,547
2024-08-23,861
2024-08-24,901
2024-08-25,845
2024-08-26,1289
2024-08-27,1326
2024-08-28,986
2024-08-29,683
2024-08-30,1077
2024-08-31,579
2024-09-01,538
2024-09-02,655
2024-09-03,888
2024-09-04,1147
2024-09-05,980
2024-09-06,813
2024-09-07,1349
2024-09-08,1424
2024-09-09,1097
2024-09-10,1203
2024-09-11,1249
2024-09-12,934
2024-09-13,522
2024-09-14,615
2024-09-15,933
2024-09-16,1320
2024-09-17,510
2024-09-18,1469
2024-09-19,884
2024-09-20,1363
2024-09-21,600
2024-09-22,1319
2024-09-23,1359
2024-09-24,686
2024-09-25,1077
2024-09-26,1363
2024-09-27,1206
2024-09-28,1487
2024-09-29,813
2024-09-30,930
2024-10-01,719
2024-10-02,1062
2024-10-03,737
2024-10-04,1085
2024-10-05,821
2024-10-06,1488
2024-10-07,1191
2024-10-08,698
2024-10-09,1457
2024-10-10,1078
2024-10-11,1481
2024-10-12,634
2024-10-13,1129
2024-10-14,908
2024-10-15,1078
2024-10-16,1016
2024-10-17,904
2024-10-18,1159
2024-10-19,819
2024-10-20,894
2024-10-21,931
2024-10-22,750
2024-10-23,817
2024-10-24,774
2024-10-25,1091
2024-10-26,882
2024-10-27,779
2024-10-28,1184
2024-10-29,672
2024-10-30,916
2024-10-31,1327
2024-11-01,1067
2024-11-02,1260
2024-11-03,1164
2024-11-04,838
2024-11-05,843
2024-11-06,1273
2024-11-07,554
2024-11-08,698
2024-11-09,1333
2024-11-10,1034
2024-11-11,1163
2024-11-12,1207
2024-11-13,1277
2024-11-14,868
2024-11-15,1126
2024-11-16,1453
2024-11-17,753
2024-11-18,789
2024-11-19,596
2024-11-20,1356
2024-11-21,539
2024-11-22,1017
2024-11-23,1342
2024-11-24,790
2024-11-25,1057
2024-11-26,1046
2024-11-27,1421
2024-11-28,1393
2024-11-29,1333
2024-11-30,1403
2024-12-01,940
2024-12-02,1488
2024-12-03,1435
2024-12-04,1345
2024-12-05,1310
2024-12-06,942
2024-12-07,1283
2024-12-08,788
2024-12-09,996
2024-12-10,1335
2024-12-11,1126
2024-12-12,687
2024-12-13,1439
2024-12-14,1001
2024-12-15,1438
2024-12-16,588
2024-12-17,1162
2024-12-18,586
2024-12-19,1474
2024-12-20,951
2024-12-21,593
2024-12-22,506
2024-12-23,784
2024-12-24,674
2024-12-25,1464
2024-12-26,991
2024-12-27,718
2024-12-28,566
2024-12-29,810
2024-12-30,955
